FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 18:00:30.366652
FB Historicum;22;78;2016-12-18 18:00:30.366660
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 18:00:30.366668
FB Medizinische Lesehalle;42;58;2016-12-18 18:00:30.366676
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 18:00:30.366683
FB Theologie und Philosophie;Geschlossen;0;2016-12-18 18:00:30.366692
FB Wirtschaftswissenschaften und Statistik;Geschlossen;0;2016-12-18 18:00:30.366700
Allgemeiner Lesesaal (Zentralbibliothek);34;66;2016-12-18 18:15:24.643549
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 18:15:24.643606
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 18:15:24.643618
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 18:15:24.643628
FB Englischer Garten;Geschlossen;0;2016-12-18 18:15:24.643636
FB Geowissenschaften;13;87;2016-12-18 18:15:24.643644
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 18:15:24.643652
FB Historicum;Geschlossen;0;2016-12-18 18:15:24.643660
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 18:15:24.643668
FB Medizinische Lesehalle;Geschlossen;0;2016-12-18 18:15:24.643676
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 18:15:24.643684
FB Theologie und Philosophie;Geschlossen;0;2016-12-18 18:15:24.643693
FB Wirtschaftswissenschaften und Statistik;Geschlossen;0;2016-12-18 18:15:24.643702
Allgemeiner Lesesaal (Zentralbibliothek);34;66;2016-12-18 18:30:26.937207
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 18:30:26.937254
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 18:30:26.937264
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 18:30:26.937271
FB Englischer Garten;Geschlossen;0;2016-12-18 18:30:26.937278
FB Geowissenschaften;13;87;2016-12-18 18:30:26.937284
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 18:30:26.937290
FB Historicum;Geschlossen;0;2016-12-18 18:30:26.937296
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 18:30:26.937302
FB Medizinische Lesehalle;Geschlossen;0;2016-12-18 18:30:26.937308
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 18:30:26.937316
FB Theologie und Philosophie;Geschlossen;0;2016-12-18 18:30:26.937323
FB Wirtschaftswissenschaften und Statistik;Geschlossen;0;2016-12-18 18:30:26.937329
Allgemeiner Lesesaal (Zentralbibliothek);34;66;2016-12-18 18:45:25.435442
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 18:45:25.435492
